Metadata Type,Metadata API,Source Tracking,Unlocked Packaging Second generation Unlocked Packaging,Managed Packaging Second generation Managed Packaging,"Classic Packaging First generation Packaging, and covers both Managed and Unmanaged through footnotes in the cells",Change Sets,Apex Metadata API,Known Issues
AccessControlPolicy,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
AccountForecastSettings,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AccountInsightsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AccountIntelligenceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AccountRelationshipShareRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AccountSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AcctMgrTargetSettings,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ActionLinkGroupTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ActionPlanTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
ActionsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ActivitiesSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AddressSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AIApplication,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AIApplicationConfig,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AIAssistantTemplate,,,,,,,,
AILiveMetricDefinition,,,,,,,,
AIReplyRecommendationsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AnalysisConfiguration,,,,,,,,
AnalyticSnapshot,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AnalyticsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AnimationRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ApexClass,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,"2 Open, 2 Fixed"
ApexComponent,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ApexEmailNotifications,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,
ApexPage,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,1 Open
ApexSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ApexTestSuite,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
ApexTrigger,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,1 Fixed
AppAnalyticsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AppExperienceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AppleDomainVerification,,,,,,,,
ApplicationRecordTypeConfig,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AppMenu,Exposed in Metadata API,Exposed in Source Tracking,,,,,,1 Fixed
AppointmentSchedulingPolicy,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ApprovalProcess,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
ArchiveSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AssetSettings,,,,,,,,
AssignmentRules,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
AssistantContextItem,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AssistantDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AssistantSkillQuickAction,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AssistantSkillSobjectAction,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AssistantVersion,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
Audience,Exposed in Metadata API,,,,,,,
AuraDefinitionBundle,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AuthProvider,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,1 Fixed
AutomatedContactsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AutoResponseRules,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
BatchCalcJobDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
BatchProcessJobDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
BenefitAction,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
BlacklistedConsumer,Exposed in Metadata API,Exposed in Source Tracking,,,Exposed in Classic Packaging,,,
BlockchainSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Bot,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
BotSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
BotVersion,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
BrandingSet,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,
BriefcaseDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
BusinessHoursSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
BusinessProcess,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,1 Open
BusinessProcessGroup,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
CallCenter,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
CallCoachingMediaProvider,Exposed in Metadata API,,,,,,,
CampaignInfluenceModel,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
CampaignSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CanvasMetadata,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
CareProviderSearchConfig,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
CareRequestConfiguration,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
CareSystemFieldMapping,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CaseClassificationSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CaseSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CaseSubjectParticle,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
Certificate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ChannelLayout,Exposed in Metadata API,Exposed in Source Tracking,,,Exposed in Classic Packaging,Exposed in Change Sets,,
ChannelObjectLinkingRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ChatterAnswersSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ChatterEmailsMDSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ChatterExtension,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
ChatterSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CleanDataService,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CMSConnectSource,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CommandAction,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
CommunitiesSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Community,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
CommunityTemplateDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CommunityThemeDefinition,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CompactLayout,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,1 Fixed
CompanySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ConnectedApp,Exposed in Metadata API,Exposed in Source Tracking,,Exposed in Managed Packaging,Applies only to Classic managed packages. 2,,,
ConnectedAppSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ContentAsset,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ContentSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ContractSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ConversationalIntelligenceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ConversationVendorFieldDef,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ConversationVendorInfo,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CorsWhitelistOrigin,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CspTrustedSite,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CurrencySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CustomApplication,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CustomApplicationComponent,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CustomDataType,,,,,,,,
CustomerDataPlatformSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
CustomFeedFilter,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
CustomField,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,2 Fixed
CustomHelpMenuSection,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
CustomLabels,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,Exposed in Change Sets,,1 Open
CustomMetadata,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,Exposed in Apex Metadata API,
CustomNotificationType,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CustomObject,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,"3 Open, 3 Fixed"
CustomObjectTranslation,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,1 Fixed
CustomPageWebLink,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CustomPermission,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
CustomSite,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
CustomTab,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,2 Open
CustomValue,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Dashboard,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DashboardFolder,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DataCategoryGroup,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
DataDotComSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
DataPipeline,,,,,,,,
DataSourceObject,Exposed in Metadata API,,Exposed in Unlocked Packaging,,,,,
DecisionFlow,,,,,,,,
DecisionFlowSubFlow,,,,,,,,
DecisionTable,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DecisionTableDatasetLink,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,
DelegateGroup,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
DeploymentSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
DevHubSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
DiscoveryAIModel,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DiscoveryGoal,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DiscoverySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Document,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DocumentChecklistSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
DocumentFolder,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DocumentType,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
DuplicateRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
DynamicTrigger,Exposed in Metadata API,Exposed in Source Tracking,,,Exposed in Classic Packaging,Exposed in Change Sets,,
EACSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EclairGeoData,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
EinsteinAssistantSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EmailAdministrationSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EmailFolder,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
EmailIntegrationSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EmailServicesFunction,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
EmailTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
EmailTemplateFolder,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
EmailTemplateSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EmbeddedServiceBranding,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
EmbeddedServiceConfig,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
EmbeddedServiceFieldService,,,,,,,,1 Open
EmbeddedServiceFlowConfig,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
EmbeddedServiceLiveAgent,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EmbeddedServiceMenuSettings,,,,,,,,
EmployeeUserSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EncryptionKeySettings,,,,,,,,
EnhancedNotesSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EntitlementProcess,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,Exposed in Classic Packaging,Exposed in Change Sets,,
EntitlementSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EntitlementTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
EntityImplements,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
EscalationRules,Exposed in Metadata API,Exposed in Source Tracking,,,,Exposed in Change Sets,,
EssentialsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EssentialsTrialOrgSettings,,,,,,,,
EventDelivery,,,,,,,,
EventSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
EventSubscription,,,,,,,,
ExperienceBundle,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,Exposed in Change Sets,,
ExperienceBundleSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ExternalAIModel,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ExternalDataSource,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,1 Open
ExternalServiceRegistration,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ExternalServicesSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
FeatureParameterBoolean,Exposed in Metadata API,Exposed in Source Tracking,,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
FeatureParameterDate,Exposed in Metadata API,Exposed in Source Tracking,,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
FeatureParameterInteger,Exposed in Metadata API,Exposed in Source Tracking,,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
FeedFieldHistory,,,,,,,,
FieldServiceMobileExtension,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
FieldServiceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
FieldSet,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
FieldSrcTrgtRelationship,Exposed in Metadata API,,Exposed in Unlocked Packaging,,,,,
FilesConnectSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
FileUploadAndDownloadSecuritySettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
FlexiPage,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
Flow,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,"1 Open, 1 Fixed"
FlowCategory,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,,,,
FlowDefinition,Exposed in Metadata API,,,,Exposed in Classic Packaging,Exposed in Change Sets,,
FlowSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ForecastingSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
Form,,,,,,,,
FormSection,,,,,,,,
FormulaSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
FunctionReference,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
GatewayProviderPaymentMethodType,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
GlobalPicklistValue,,,,,,,,
